series,real_fraction,mean_final,sd_final,n_seeds
base:query_acc_all,0.0,2,1.0,0.0,0
base:query_acc_all,0.0,3,1.0,0.0,0
base:query_acc_all,0.0,4,1.0,0.0,0
base:query_acc_all,0.0,5,0.9999,0.0001,0
base:query_acc_all,0.1,0,1.0,0.0,0
base:query_acc_all,0.1,1,1.0,0.0,0
base:query_acc_all,0.1,2,1.0,0.0,0
base:query_acc_all,0.1,3,1.0,0.0,0
base:query_acc_all,0.1,4,1.0,0.0,0
base:query_acc_all,0.1,5,1.0,0.0,0
base:query_acc_all,0.25,0,1.0,0.0,0
base:query_acc_all,0.25,1,0.9981,0.0026,0
base:query_acc_all,0.25,2,0.9982,0.0025,0
base:query_acc_all,0.25,3,0.9983,0.0024,0
base:query_acc_all,0.25,4,0.9997,0.0005,0
base:query_acc_all,0.25,5,0.9995,0.0005,0
base:query_acc_all,0.5,0,1.0,0.0,0
base:query_acc_all,0.5,1,1.0,0.0,0
base:query_acc_all,0.5,2,1.0,0.0,0
base:query_acc_all,0.5,3,1.0,0.0,0
base:query_acc_all,0.5,4,0.9859,0.0199,0
base:query_acc_all,0.5,5,0.9967,0.0034,0
base:query_acc_all,1.0,0,1.0,0.0,0
base:query_acc_all,1.0,1,1.0,0.0,0
base:query_acc_all,1.0,2,1.0,0.0,0
base:query_acc_all,1.0,3,0.9883,0.0166,0
base:query_acc_all,1.0,4,0.9998,0.0002,0
base:query_acc_all,1.0,5,1.0,0.0,0
base:pool_label_correct,0.0,0,1.0,0.0,0
base:pool_label_correct,0.0,1,0.9998,0.0001,0
base:pool_label_correct,0.0,2,0.9996,0.0001,0
base:pool_label_correct,0.0,3,0.9995,0.0001,0
base:pool_label_correct,0.0,4,0.999,0.0005,0
base:pool_label_correct,0.0,5,0.9988,0.0006,0
base:pool_label_correct,0.1,0,1.0,0.0,0
base:pool_label_correct,0.1,1,0.9998,0.0001,0
base:pool_label_correct,0.1,2,0.9997,0.0001,0
base:pool_label_correct,0.1,3,0.9995,0.0001,0
base:pool_label_correct,0.1,4,0.9995,0.0002,0
base:pool_label_correct,0.1,5,0.9993,0.0002,0
base:pool_label_correct,0.25,0,1.0,0.0,0
base:pool_label_correct,0.25,1,0.9998,0.0001,0
base:pool_label_correct,0.25,2,0.9921,0.0108,0
base:pool_label_correct,0.25,3,0.994,0.008,0
base:pool_label_correct,0.25,4,0.9955,0.0058,0
base:pool_label_correct,0.25,5,0.9965,0.0042,0
base:pool_label_correct,0.5,0,1.0,0.0,0
base:pool_label_correct,0.5,1,0.9999,0.0001,0
base:pool_label_correct,0.5,2,0.9999,0.0,0
base:pool_label_correct,0.5,3,0.9999,0.0,0
base:pool_label_correct,0.5,4,0.9998,0.0001,0
base:pool_label_correct,0.5,5,0.9804,0.0275,0
base:pool_label_correct,1.0,0,1.0,0.0,0
base:pool_label_correct,1.0,1,1.0,0.0,0
base:pool_label_correct,1.0,2,1.0,0.0,0
base:pool_label_correct,1.0,3,1.0,0.0,0
base:pool_label_correct,1.0,4,1.0,0.0,0
base:pool_label_correct,1.0,5,1.0,0.0,0
